district,mandal,village,unit_name,line_of_activity,sector,investment,number_of_employees,application_date,approval_date,progress_of_implementation,in_online,social_status
Medchal,Dundigal Gandimaisamma,Gagilapur,SAI DURGA ENGINEERS UNIT 2,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,4.917,49,15/11/2018,28/12/2018,COMMENCED OPERATIONS,Yes,General
Yadadri,Pochampalle,Jiblak Palle,SENSATIONAL AGRI INPUTS PVT LTD,Fertilizer (granulation/ formulation/ Blending only),"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",12.6832,35,17/04/2018,28/12/2018,COMMENCED OPERATIONS,Yes,General
Khammam,Mudigonda,Mudigonda,SRI VENGAMAMBA STONEX,"Cutting, sizing and polishing of marble stone",Granite and Stone Crushing,1.4992,15,01/11/2018,28/12/2018,COMMENCED OPERATIONS,Yes,General
Sangareddy,Patancheru,Patancheru,Veljan Denison Ltd,Automobile Manufacturing(integrated facilities),Automobile,0.0,280,27/11/2018,28/12/2018,COMMENCED OPERATIONS,Yes,General
Suryapet,Garide Palle,Garidepalle,M/s. KPC Projects Ltd,Stone crushers,Granite and Stone Crushing,1.2037,9,06/12/2018,28/12/2018,COMMENCED OPERATIONS,Yes,General
Mancherial,Luxettipet,Venkataraopet,M/S. POTHU GURUVAIAH POWERLOOMS UNIT,Handloom/ carpet weaving ( without dying and bleaching operation),Textiles,0.09,4,24/12/2018,28/12/2018,COMMENCED OPERATIONS,Yes,OBC
Mancherial,Chennur,Bhamraopet,Shekar clc bricks,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.1,6,22/12/2018,28/12/2018,COMMENCED OPERATIONS,Yes,OBC
Adilabad,Utnoor,Utnur,M/S JAY BLOCKS,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.05,8,21/12/2018,28/12/2018,COMMENCED OPERATIONS,Yes,OBC
Rangareddy,Abdullapurmet,Balijaguda,Indus Plastic Industries,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,0.3,8,18/12/2018,28/12/2018,COMMENCED OPERATIONS,Yes,General
Warangal - Urban,Hanamkonda,Hanamkonda,AYUR CARE ORGANICS & NATURALS,Oil mill ghani & extraction ( no hydrogenation / refining),Food Processing,0.09,6,17/12/2018,28/12/2018,COMMENCED OPERATIONS,Yes,OBC
Medchal,Qutubullapur,Jeedimetla,ANJANI PRS BLENDS PRIVATE LIMITED,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,0.4677,15,29/11/2018,28/12/2018,COMMENCED OPERATIONS,Yes,General
Medchal,Balanagar,Balanagar,WINTEC DIE CASTINGS PVT LTD,Aluminium & copper extraction from scrap using oil fired furnace (dry process only),Engineering,0.12,32,26/12/2018,28/12/2018,COMMENCED OPERATIONS,Yes,General
Medchal,Shamirpet,Turkapally,TMN Parks Private Limited,Pharmaceuticals,Pharmaceuticals and Chemicals,10.91,18,07/12/2018,28/12/2018,COMMENCED OPERATIONS,Yes,General
Jagtial,Kathlapur,Kathlapur,M/s. LAXMI RICE MILL,Rice mill (Rice hullers only),Food Processing,0.247,15,01/08/2018,28/12/2018,COMMENCED OPERATIONS,Yes,General
Rangareddy,Kothur,Nandigam,SRI LAXMI NIVASA PLY & BOARDS,"Carpentry & wooden furniture manufacturing (excluding saw mill) with the help of electrical (motorized) machines such as electrical wood planner, steel saw cutting circular blade, etc",Wood and Leather,0.2498,10,17/12/2018,28/12/2018,COMMENCED OPERATIONS,Yes,General
Sircilla,Sircilla,Sircilla,M/S. SAI BABA WELDING WORKS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.15,5,19/12/2018,27/12/2018,COMMENCED OPERATIONS,Yes,OBC
Nirmal,Khanapur,Khanapur,M/S. SRI SAI BRICKS,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.1,5,18/12/2018,27/12/2018,COMMENCED OPERATIONS,Yes,OBC
Rangareddy,Rajendranagar,vattinagulapalle,POWER MECH PROJECTS LTD,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.24,30,14/12/2018,27/12/2018,COMMENCED OPERATIONS,Yes,General
Kamareddy,Nagareddipet,Nagireddypet,BODDULA ANIL KUMAR,Flour mills (dry process),Food Processing,0.026,1,15/12/2018,27/12/2018,COMMENCED OPERATIONS,Yes,OBC
Rangareddy,Chevella,Chanvelli,PARIJAT AGROWOOD PRODUCTS PVT LTD,"Modular wooden furniture from particle board, MDF< swan timber etc, Ceiling tiles/ partition board from saw dust, wood chips etc., and other agricultural waste using synthetic adhesive resin, wooden box making ( With boiler)",Wood and Leather,0.12,50,18/12/2018,27/12/2018,COMMENCED OPERATIONS,Yes,General
Karimnagar,Kothapally,Baddipalli,M/s. SR Industries,"Cutting, sizing and polishing of marble stone",Granite and Stone Crushing,0.786,15,11/10/2018,27/12/2018,COMMENCED OPERATIONS,Yes,General
Rangareddy,Maheswaram,Mankhal,T.K.M PHARMA,Pharmaceuticals,Pharmaceuticals and Chemicals,0.12,25,19/12/2018,27/12/2018,COMMENCED OPERATIONS,Yes,General
BHADRADRI KOTHAGUDEM,Palwancha,Palwancha,M/S. RAMA FRUITS MERCHANT,Food and food processing including fruits and vegetable processing,Food Processing,0.2,3,13/12/2018,27/12/2018,COMMENCED OPERATIONS,Yes,General
Peddapalli,Dharmaram,Bommareddipalli,M/S. SHIVA GIRIDHARI CEMENT BRICKS,"Cement products (without using asbestos / boiler / steam curing) like pipe ,pillar, jafri, well ring, block/tiles etc.(should be done in closed covered shed to control fugitive emissions)","Cement, Cement & Concrete Products, Fly Ash Bricks",0.25,4,15/12/2018,27/12/2018,COMMENCED OPERATIONS,Yes,OBC
Medchal,Uppal,Nacharam,AMEYA INDUSTRIES,Cotton spinning an. weaving (small scale),Textiles,0.2,30,27/11/2018,27/12/2018,COMMENCED OPERATIONS,Yes,General
Nalgonda,Chityala,Aipoor,JUPALLY POLYMERS,Reprocessing of waste plastic Including PVC,Plastic and Rubber,0.57,15,28/11/2018,27/12/2018,COMMENCED OPERATIONS,Yes,General
Sircilla,Sircilla,Baswapur,M/s. SRINIVASAA INDUSTRIES,Parboiled Rice Mills,Food Processing,2.9801,20,15/11/2018,26/12/2018,COMMENCED OPERATIONS,Yes,General
Rangareddy,Balapur,Nadargul,G. K. NOODLES,"Facility of handling, storage and transportation of food grains in bulk",Agro based incl Cold Storages,0.07,5,17/12/2018,25/12/2018,COMMENCED OPERATIONS,Yes,OBC
Nizamabad,Nizamabad North,Kanteshwar,M/s TARGET ENGINEERING & METAL FABRICATION WORKS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.16,4,21/12/2018,24/12/2018,COMMENCED OPERATIONS,Yes,General
Mancherial,Chennur,Chennur,M/s RAVI BRICK PLANT,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.1,10,19/12/2018,24/12/2018,COMMENCED OPERATIONS,Yes,General
Nizamabad,Bheemgal,Bejjora,M/s LAXMI POULTRY FARM,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.04,2,15/12/2018,24/12/2018,COMMENCED OPERATIONS,Yes,OBC
Mahbubnagar,Jadcherla,Jadcherla,Trinity transformers Pvt Ltd,Electrical and electronic item assembling ( completely dry process),Electrical and Electronic Products,26.0,250,16/10/2018,24/12/2018,COMMENCED OPERATIONS,Yes,General
Nizamabad,Nizamabad North,Arsapally (Part),M/S SMS FLOUR MILL,Flour mills (dry process),Food Processing,0.08,5,19/12/2018,24/12/2018,COMMENCED OPERATIONS,Yes,OBC
Karimnagar,Karimnagar,Karimnagar,M/S SRI VARALAXMI SEED PROCESSING PLANT,Steeping and processing of grains,Food Processing,0.249,5,14/12/2018,24/12/2018,COMMENCED OPERATIONS,Yes,OBC
Karimnagar,Karimnagar,Karimnagar,M/S.SRI SURABHI STORES,Flour mills (dry process),Food Processing,0.2,4,12/12/2018,24/12/2018,COMMENCED OPERATIONS,Yes,General
Nalgonda,Anumula,Kompalle,M/S. NEW KISAN MODERN RICE MILL,Rice mill (Rice hullers only),Food Processing,0.25,5,15/12/2018,23/12/2018,COMMENCED OPERATIONS,Yes,OBC
Medchal,Shamirpet,Kolthur,VITANE BIOLOGICS PVT. LIMITED,Pharmaceuticals,Pharmaceuticals and Chemicals,21.0,0,15/11/2018,22/12/2018,Yet to Start Construction,Yes,General
Suryapet,Neredcherla,Neredcherla,"M/s. Someshwara Binny Modern Rice Mill,",Parboiled Rice Mills,Food Processing,0.91,27,15/12/2018,22/12/2018,COMMENCED OPERATIONS,Yes,OBC
Medchal,Uppal,Nacharam,Geervani Polymers,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,2.23,5,30/11/2018,22/12/2018,COMMENCED OPERATIONS,Yes,General
Medak,Manoharabad,Kucharam,Agate Cranes & Hoist Pvt.Ltd,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,2.5486,15,08/12/2018,22/12/2018,ADVANCED STAGE,Yes,SC
Sangareddy,Sadasivpet,Nandikandi,UNISON INDUSTRIES,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.485,20,09/12/2018,22/12/2018,ADVANCED STAGE,Yes,OBC
Medchal,Qutubullapur,Bowrampet,M/S. SRI SAI RAM TRADERS,Cardboard or corrugated box and paper products (excluding paper or pulp manufacturing and without using boilers),Paper and Printing,0.25,8,10/12/2018,22/12/2018,COMMENCED OPERATIONS,Yes,General
Mahbubnagar,Balanagar,Macharam,M/S. VINAYAKA MICRONS (INDIA) PRIVATE LIMITED,Mineral stack yard / Railway sidings,Others,0.25,10,17/12/2018,22/12/2018,INITIAL STAGE,Yes,General
Jagtial,Dharmapuri,Thummenala,M/S. SHIVA MALLANNA POULTRY FARM & FEED MIXING,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.25,4,13/12/2018,21/12/2018,COMMENCED OPERATIONS,Yes,OBC
Jagtial,Dharmapuri,Arepalli,SRI VENKATASAI CEMENT PRODUCTS,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.065,6,14/12/2018,21/12/2018,COMMENCED OPERATIONS,Yes,OBC
Rangareddy,Balapur,Nadargul,M/s Bhagya Lakshmi Engineering Works,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.8905,10,15/10/2018,21/12/2018,COMMENCED OPERATIONS,Yes,OBC
Medak,Shivampet,Usirikapalle,Arugonda Infratech (P) Ltd.,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",6.786,0,16/07/2018,21/12/2018,COMMENCED OPERATIONS,Yes,General
Medak,Shankarampet (R),Kamaram,SAI SHRI STEELS,Rolling mill (oil or coal fired) and cold rolling mill,Engineering,0.4155,15,07/09/2018,21/12/2018,COMMENCED OPERATIONS,Yes,General
Nalgonda,Shaligouraram,Shaligouraram,Radha Krishna Rice Mill,Rice mill (Rice hullers only),Food Processing,0.15,5,17/12/2018,21/12/2018,ADVANCED STAGE,Yes,OBC
Warangal - Urban,Hanamkonda,Hanamkonda,TEJASWINI FLOUR AND CHILLI MILL,Flour mills (dry process),Food Processing,0.065,2,10/12/2018,21/12/2018,COMMENCED OPERATIONS,Yes,OBC
Vikarabad,Tandur,Tandur,VARUN MOTORS PVT LTD,"Automobile servicing, repairing andpainting (excluding only fuel dispensing)",Engineering,0.24,50,13/12/2018,21/12/2018,COMMENCED OPERATIONS,Yes,General
Sangareddy,Patancheru,Isnapur,SRI VENKATESWARA PRECISION CASTINGS,"Ferrous and Non- ferrous metal extraction involving different furnaces through melting, refining, re-processing, casting and alloy-making",Engineering,0.97,20,09/07/2018,21/12/2018,COMMENCED OPERATIONS,Yes,General
Sangareddy,Zahirabad,Buchnelli,ALF ENGINEERING PVT LTD,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.12,220,12/11/2018,21/12/2018,COMMENCED OPERATIONS,Yes,General
Khammam,Madhira,Atukuru,M/s. ELAN AGROCHEM PVT.LTD,Organic Chemicalsmanufacturing,Pharmaceuticals and Chemicals,11.92,70,14/12/2018,21/12/2018,COMMENCED OPERATIONS,Yes,General
Medchal,Qutubullapur,Jeedimetla,M/S. S D ENGINEERS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.12,9,10/12/2018,21/12/2018,COMMENCED OPERATIONS,Yes,General
Medchal,Shamirpet,Devaryamjal,GUMMALLA VASUDHA,Coffee seed processing,Food Processing,0.15,4,06/12/2018,21/12/2018,COMMENCED OPERATIONS,Yes,General
Medchal,Balanagar,Balanagar,S. K. ENGINEERING ENTERPRISES,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.1,10,10/12/2018,21/12/2018,COMMENCED OPERATIONS,Yes,General
Rangareddy,Moinabad,Peddamangalaram,MHP PIPES & FITTINGS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.7,25,11/07/2018,20/12/2018,COMMENCED OPERATIONS,Yes,General
Medchal,Shamirpet,Devaryamjal,"M/s Andhra Polymers (P) Ltd.,",Rubber goods industry (with gas operated baby boiler),Plastic and Rubber,3.9774,25,06/12/2018,20/12/2018,COMMENCED OPERATIONS,Yes,General
Mancherial,Kotapalle,Annaram,M/s SRI GAYATHRI ENGINEERING WORK SHOP,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.05,3,27/11/2018,20/12/2018,COMMENCED OPERATIONS,Yes,OBC
Khammam,Khammam (Rural),Gurralapadu,SAI VASAVI COLD STORAGE,"Chilling plant, cold storage and ice making",Agro based incl Cold Storages,8.0325,15,17/08/2018,20/12/2018,COMMENCED OPERATIONS,Yes,General
Sangareddy,Jinnaram,Khazipalle,VIJAYA SRI INDUSTRIES,Fertilizer (granulation/ formulation/ Blending only),"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",0.45,4,31/08/2018,20/12/2018,COMMENCED OPERATIONS,Yes,General
Khammam,Mudigonda,Suvarnapuram,New sri granites,Mineral stack yard / Railway sidings,Others,1.5463,15,10/04/2018,20/12/2018,COMMENCED OPERATIONS,Yes,General
Yadadri,M.Turkapalle,Dattai Palle,STRANEX INDUSTRIES PVT LTD,"Manufacturing of explosives,detonators, fuses includingmanagement and handlingactivities",Pharmaceuticals and Chemicals,1.9666,100,13/12/2018,20/12/2018,COMMENCED OPERATIONS,Yes,General
Sangareddy,Hathnoora,Chintalcheru,SUPER BINNY RICE MILL,Rice mill (Rice hullers only),Food Processing,0.25,5,16/12/2018,20/12/2018,COMMENCED OPERATIONS,Yes,OBC
Yadadri,Choutuppal,Khairathpur,SHIV POLYMERS,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,0.219,5,17/12/2018,20/12/2018,COMMENCED OPERATIONS,Yes,General
Medchal,Dundigal Gandimaisamma,Dommara pochampally,ARYA BUILDING SYSTEMS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.2,10,07/12/2018,20/12/2018,COMMENCED OPERATIONS,Yes,General
Warangal - Urban,Khaazipet,Rampur,Alekya Fabrication Works,Aluminium utensils from aluminium circles by pressing only (dry mechanical operation),Engineering,0.3742,10,04/12/2018,19/12/2018,COMMENCED OPERATIONS,Yes,General
Rangareddy,Maheswaram,Mankhal,"M/s. Vanamali Organics Private Limited, Unit-II",Pharmaceuticals,Pharmaceuticals and Chemicals,10.0,80,22/11/2018,19/12/2018,COMMENCED OPERATIONS,Yes,General
Rangareddy,Maheswaram,Maheswaram,Electronic Hardware Park by M/s. TSIIC Ltd,"Building & Construction Projects more than 20,000 Sq.mtrs built-up area having discharge more than 100 KLD","Real Estate,Industrial Parks and IT Buildings",116.27,19100,06/11/2018,19/12/2018,COMMENCED OPERATIONS,Yes,General
Jagtial,Gollapalle,Abbapur,M/S. SAMBA SHIVA INDUSTRIES,Parboiled Rice Mills,Food Processing,1.7265,25,12/10/2018,19/12/2018,COMMENCED OPERATIONS,Yes,General
Jagtial,Gollapalle,Raghavapatnam,M/S. LAVANYA POULTRY & FEED MIXING,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.25,2,14/12/2018,19/12/2018,COMMENCED OPERATIONS,Yes,OBC
Mahbubnagar,Balanagar,Udithyal,GALAXY PIGMENTS PVT LTD,"Ferrous and Non- ferrous metal extraction involving different furnaces through melting, refining, re-processing, casting and alloy-making",Engineering,1.8,18,16/11/2018,19/12/2018,COMMENCED OPERATIONS,Yes,General
Sircilla,Chandurthi,Chandurthi,M/s. HARINI POULTRY FARM,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.17,8,30/11/2018,18/12/2018,COMMENCED OPERATIONS,Yes,OBC
Sircilla,Ellanthakunta,Kandikatkoor,M/S. ABHIGNA POULTRY FARM,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.2,8,04/12/2018,18/12/2018,COMMENCED OPERATIONS,Yes,OBC
Sircilla,Sircilla,Cheerlavancha,M/S. LAXMI POULTRY FARM,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.25,8,30/11/2018,18/12/2018,COMMENCED OPERATIONS,Yes,OBC
Sircilla,Ellanthakunta,Repaka,M/S. SOLLU ANJAIAH POULTRY FARM,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.165,8,26/11/2018,18/12/2018,COMMENCED OPERATIONS,Yes,SC
BHADRADRI KOTHAGUDEM,Annapureddypalli,Annapureddypally,M/S. BHAVANI AND BALAJI BINNI RICE MILL,Rice mill (Rice hullers only),Food Processing,0.15,5,05/12/2018,18/12/2018,COMMENCED OPERATIONS,Yes,OBC
Mahbubnagar,Balanagar,Gunded,LASER SHAVING PRODUCTS PRIVATE LIMITED,Steel and steel products using various furnaces like blast furnace open hearth furnace/ induction furnace/ arc furnace/ submerged arc furnace /basic oxygen furnace/hot rolling reheated furnace,Engineering,8.5795,90,26/09/2018,18/12/2018,YET TO START CONSTRUCTION,Yes,General
Peddapalli,Sultanabad,Garrepalle,SRI VENKATESHWARA POULTRY FARM,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,0.35,3,03/12/2018,18/12/2018,COMMENCED OPERATIONS,Yes,General
Medchal,Shamirpet,Devaryamjal,VORLA RAM MOHAN REDDY,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.2,5,06/12/2018,18/12/2018,COMMENCED OPERATIONS,Yes,General
Sangareddy,Jinnaram,Bollaram,SREE CONSTRUCTIONS,Ready mix cement concrete,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.24,10,12/12/2018,18/12/2018,COMMENCED OPERATIONS,Yes,General
Suryapet,Garide Palle,Garidepalle,M/S. KPC PROJECTS LTD,Stone crushers,Granite and Stone Crushing,0.25,10,11/12/2018,18/12/2018,COMMENCED OPERATIONS,Yes,General
Medak,Manoharabad,Kucharam,Merito Enterprises,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,1.6457,11,17/11/2018,18/12/2018,INITIAL STAGE,Yes,OBC
Rangareddy,Maheswaram,Maheswaram,OSI SYSTEMS PVT LTD,Electrical and electronic item assembling ( completely dry process),Electrical and Electronic Products,0.25,40,13/12/2018,17/12/2018,COMMENCED OPERATIONS,Yes,General
Kamareddy,Bhiknoor,Baswapur,M/s SRI ANJANEYA INDUSTRIES,Parboiled Rice Mills,Food Processing,3.7035,15,10/10/2018,17/12/2018,COMMENCED OPERATIONS,Yes,General
Medchal,Qutubullapur,Jeedimetla,Jain Constructions,"Building & Construction Projects more than 20,000 Sq.mtrs built-up area having discharge more than 100 KLD","Real Estate,Industrial Parks and IT Buildings",104.0,1240,22/11/2018,17/12/2018,YET TO START CONSTRUCTION,Yes,General
Medchal,Alwal,Yapral,OMSREE SIGNET M/S OM SREE BUILDERS AND DEVELOPERS,"Building & Construction Projects more than 20,000 Sq.mtrs built-up area having discharge more than 100 KLD","Real Estate,Industrial Parks and IT Buildings",130.0,30,13/11/2018,17/12/2018,INITIAL STAGE,Yes,General
Medchal,Medchal,Athwelli,M/s. Sensation Infracon Pvt. Ltd,"Building and construction project more than 20,000 sq. m built up area","Real Estate,Industrial Parks and IT Buildings",75.0,100,31/10/2018,17/12/2018,INITIAL STAGE,Yes,General
Rangareddy,Rajendranagar,Narsingi,M/s. Sensation lnfracon Pvt. Ltd,"Building and construction project more than 20,000 sq. m built up area","Real Estate,Industrial Parks and IT Buildings",100.0,50,31/10/2018,17/12/2018,ADVANCED STAGE,Yes,General
Medchal,Balanagar,Balanagar,ABACUS REAL ESTATE PRIVATE LIMITED,"Building & Construction Projects more than 20,000 Sq.mtrs built-up area having discharge more than 100 KLD","Real Estate,Industrial Parks and IT Buildings",144.16,900,18/11/2018,17/12/2018,ADVANCED STAGE,Yes,General
Hyderabad,Ameerpet,Ameerpet,LIC Employees Mutually Aided Cooperative House Bu,Building and Construction projects with waste water more than 100 KLD,"Real Estate,Industrial Parks and IT Buildings",100.0,20,31/10/2018,17/12/2018,ADVANCED STAGE,Yes,OBC
Rangareddy,Serilingampally,NANAKRAMGUDA,M/s. BSR Builders LLP,"Building & Construction Projects more than 20,000 Sq.mtrs built-up area having discharge more than 100 KLD","Real Estate,Industrial Parks and IT Buildings",184.0,10278,17/11/2018,17/12/2018,COMMENCED OPERATIONS,Yes,General
Rangareddy,Serilingampally,NANAKRAMGUDA,BSR TECH PARK (Phase - II),"Building & Construction Projects more than 20,000 Sq.mtrs built-up area having discharge more than 100 KLD","Real Estate,Industrial Parks and IT Buildings",250.0,9165,17/11/2018,17/12/2018,COMMENCED OPERATIONS,Yes,General
Rangareddy,Kothur,Kothur,"Mittal Batteries Pvt Ltd.,",Lead acid batterymanufacturing(excluding assembling and charging of lead- acid battery in micro scale)',Pharmaceuticals and Chemicals,3.0,20,10/09/2018,17/12/2018,COMMENCED OPERATIONS,Yes,General
Medak,Tupran,Toopran,NAVRATAN POLYMERS PVT. LTD UNIT-2,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,2.862,18,10/06/2017,17/12/2018,COMMENCED OPERATIONS,Yes,General
Sangareddy,Patancheru,Pashamylaram,AVACA PHARMA PRIVATE LIMITED,Pharmaceutical Formulation for R & D purpose (for sustained release/extended release of drugs only and not for commercial purpose),R&D,0.965,4,29/11/2018,17/12/2018,COMMENCED OPERATIONS,Yes,General
Rangareddy,Yacharam,Kothapalle,KISAN AGRO FEED,"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,4.5,50,03/08/2018,17/12/2018,COMMENCED OPERATIONS,Yes,General
Medchal,Uppal,Uppal,Sreeven The Offset Printers,"Gravure printing, digital printing on flex, vinyl",Paper and Printing,11.25,50,19/11/2018,17/12/2018,COMMENCED OPERATIONS,Yes,OBC
Medchal,Qutubullapur,Jeedimetla,SRI SAI GARMENTS,Digital printing on PVC clothes,Paper and Printing,0.1,15,11/12/2018,16/12/2018,COMMENCED OPERATIONS,Yes,General
Medchal,Qutubullapur,Jeedimetla,SRI VENKATESWARA ERECTIONS,Electrical and electronic item assembling ( completely dry process),Electrical and Electronic Products,0.2332,5,06/12/2018,16/12/2018,COMMENCED OPERATIONS,Yes,ST
Suryapet,Jaji Reddi Gudem,Jajireddi Gudem,M/S. KPC PROJECTS LTD,"Cement products (without using asbestos / boiler / steam curing) like pipe ,pillar, jafri, well ring, block/tiles etc.(should be done in closed covered shed to control fugitive emissions)","Cement, Cement & Concrete Products, Fly Ash Bricks",0.25,8,11/12/2018,16/12/2018,COMMENCED OPERATIONS,Yes,OBC
Rangareddy,Kandukur,Meerkhanpet,VEDA RESOURCES,Stone crushers,Granite and Stone Crushing,0.95,10,26/11/2018,15/12/2018,COMMENCED OPERATIONS,Yes,General
Rangareddy,Balapur,Nadargul,GPV Manufacturers,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,1.43,9,12/10/2018,15/12/2018,ADVANCED STAGE,Yes,OBC
Rangareddy,Balapur,Nadargul,M/s V-3 Enterprises,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,1.4587,8,13/10/2018,15/12/2018,COMMENCED OPERATIONS,Yes,OBC
Mancherial,Jannaram,Ponakal,M/S. MODERN FLY ASH BRICK INDUSTRY,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.15,5,05/12/2018,15/12/2018,COMMENCED OPERATIONS,Yes,General
Rangareddy,Ibrahimpatnam,Toolekalan,DHENU INDUSTRIES,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,3.0,19,20/08/2018,15/12/2018,COMMENCED OPERATIONS,Yes,General
Rangareddy,Balapur,Nadargul,M/s Srinivasa Engineering Works,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,1.21,10,17/05/2018,15/12/2018,COMMENCED OPERATIONS,Yes,OBC
Rangareddy,Balapur,Nadargul,M/s BNR Fabricators,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,1.87,10,01/11/2018,15/12/2018,ADVANCED STAGE,Yes,General
Nizamabad,Bodhan,Achampalle (R),M/S SRI VENKATESHWARA FLOUR MILL,Flour mills (dry process),Food Processing,0.07,2,04/12/2018,15/12/2018,COMMENCED OPERATIONS,Yes,OBC
Nizamabad,Nizamabad North,Kanteshwar,M/S ANURADHA SAW MILL,Saw mills,Wood and Leather,0.02,4,12/12/2018,15/12/2018,COMMENCED OPERATIONS,Yes,OBC
Medak,Shankarampet (R),Ambajipet,M/s A.S. IRON & STEELS (I) PVT.LTD.,Steel and steel products using various furnaces like blast furnace open hearth furnace/ induction furnace/ arc furnace/ submerged arc furnace /basic oxygen furnace/hot rolling reheated furnace,Engineering,0.5,12,24/11/2018,15/12/2018,COMMENCED OPERATIONS,Yes,General
Kamareddy,Nasurullabad,Nasarullabad,M/S AKHEEL MIRCHI MILL,Flour mills (dry process),Food Processing,0.07,4,08/12/2018,15/12/2018,COMMENCED OPERATIONS,Yes,OBC
Sangareddy,Patancheru,Pashamylaram,SRI RAJA RAMESH INDUSTRIES,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,4.5,30,28/11/2018,15/12/2018,COMMENCED OPERATIONS,Yes,General
Medchal,Ghatkesar,Cherlapally,LA NOURRITURE INDIA SPECIALITIES LTD,Food and food processing including fruits and vegetable processing,Food Processing,0.24,20,13/12/2018,14/12/2018,COMMENCED OPERATIONS,Yes,General
Rangareddy,Serilingampally,MADHAPUR,TALWAR MOBILES PVT LTD,"Automobile servicing, repairing andpainting (excluding only fuel dispensing)",Engineering,0.24,50,21/11/2018,14/12/2018,COMMENCED OPERATIONS,Yes,General
Siddipet,Kondapak,Mathapalle,ABHAYA HANUMAN MINING COMPANY,Stone crushers,Granite and Stone Crushing,1.33,16,04/07/2018,14/12/2018,COMMENCED OPERATIONS,Yes,General
Jagtial,Kathlapur,Kalikota,M/S. LONKA RAMESHWARA BRICKS,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.15,4,01/12/2018,14/12/2018,COMMENCED OPERATIONS,Yes,OBC
Medchal,Qutubullapur,Dulapalle,M/S. SREE SHIVA PARVATHI ENGINEERING WORKS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.2,20,05/12/2018,14/12/2018,COMMENCED OPERATIONS,Yes,OBC
